문제 번호,문제,보기 1,보기 2,보기 3,보기 4,보기 5,정답,해설
1,"수도법 제3조에 따른 ""급수설비""의 정의에 포함되지 않는 것은?",(1) 배수관으로부터 분기하여 설치된 급수관,(2) 옥내급수관,(3) 계량기,(4) 정수송수시설,(5) 수도꼭지,4,"수도법 제3조에 따르면 급수설비는 ""수도사업자가 일반 수요자에게 원수나 정수를 공급하기 위하여 설치한 배수관으로부터 분기하여 설치된 급수관(옥내급수관을 포함한다)ㆍ계량기ㆍ저수조(受水槽)ㆍ수도꼭지, 그 밖에 급수를 위하여 필요한 기구(器具)를 말한다""고 정의되어 있습니다. 정수송수시설은 ""수도시설""에 해당하는 개념입니다."
2,수도법 제14조에 따라 수도용 자재나 제품을 제조 또는 수입하려는 자가 미리 인증을 받아야 하는 기관은 어디인가?,(1) 국토교통부장관,(2) 보건복지부장관,(3) 환경부장관,(4) 한국상하수도협회,(5) 한국수자원공사,3,"수도법 제14조 제1항에 따르면, 수도시설 중 물에 접촉하는 수도용 자재나 제품을 제조 또는 수입하려는 자는 미리 환경부장관으로부터 그 수도용 자재와 제품이 대통령령으로 정하는 위생안전기준에 맞는지에 대하여 인증을 받아야 합니다."
3,수도법 시행령에서 정하는 수도용 자재와 제품 중 환경부장관이 수도용 자재나 제품으로 사용하기에 적합하다고 인정한 것으로 볼 수 없는 것은?,(1) 성능인증을 받은 제품,(2) 단체표준인증을 받은 제품으로서 우수한 단체표준제품,(3) 단체표준인증을 받은 제품으로서 한국상하수도협회가 인증한 제품,(4) 환경표지의 인증을 받은 제품,(5) 환경부장관이 부적합하다고 고시하는 자재나 제품,5,"수도법 시행령 제14조 제3항에서 언급하는 ""대통령령으로 정하는 기준에 맞는 수도용 자재와 제품""에는 성능인증, 단체표준인증, 환경표지 인증, 신기술 인증 또는 신제품 인증을 받은 제품 및 환경부장관이 적합하다고 인정한 자재나 제품이 포함됩니다. 그러나 ""환경부장관이 수도용 자재나 제품으로 사용하기에 적합하지 아니하다고 인정하여 고시하는 자재나 제품""은 수도용 자재로 사용할 수 없습니다."
4,수도법 시행규칙 [별표 3] 수도시설의 세부 시설기준 중 송수시설에 대한 설명으로 옳지 않은 것은?,(1) 이송과정에서 정수된 물이 외부로부터 오염되지 않도록 관수로 등의 구조로 하여야 한다.,(2) 자연유하방식으로 설치하여야 한다.,"(3) 지형 및 지세에 따라 여수로접합정, 배수설비, 제수밸브, 제수문, 공기밸브 및 신축이음을 설치하여야 한다.",(4) 관내에 부압이 발생하지 아니하여야 한다.,(5) 작용하는 수압에 적합하지 않은 수격이 발생하여도 무방하다.,5,"수도법 시행규칙 [별표 3]에 따르면 송수시설은 ""관내에 부압(負壓)이 발생하지 아니하여야 하며, 작용하는 수압에 적합한 수격(水擊)에 견딜 수 있어야 한다""는 기준을 만족해야 합니다. 따라서 작용하는 수압에 적합하지 않은 수격이 발생해도 무방하다는 설명은 옳지 않습니다."
5,"수도법 시행령 [별표 2의2] 상수도관망시설운영관리사의 배치기준에 따라, 상수도관망시설의 규모가 1,000km 이상 1,500km 미만인 경우의 배치기준으로 옳은 것은?",(1) 상수도관망시설운영관리사 2급 1명 이상,(2) 상수도관망시설운영관리사 2급 2명 이상,(3) 상수도관망시설운영관리사 1급 1명 이상,(4) 상수도관망시설운영관리사 1급 1명 이상 및 상수도관망시설운영관리사 2급 2명 이상,(5) 상수도관망시설운영관리사 1급 2명 이상 및 상수도관망시설운영관리사 2급 2명 이상,4,"수도법 시행령 [별표 2의2]에 명시된 배치기준에 따르면, 상수도관망시설의 규모가 1,000km 이상 1,500km 미만일 경우 ""가. 상수도관망시설운영관리사 1급 1명 이상 나. 상수도관망시설운영관리사 2급 2명 이상""으로 규정되어 있습니다."
6,상수도관망 중점관리지역 지정 기준에 해당하지 않는 것은?,(1) 수질사고 및 수질민원이 반복적으로 발생하거나 발생할 우려가 있는지 여부,(2) 상수도관망의 노후 정도,(3) 수질사고가 발생할 경우 큰 피해가 발생할 우려가 있는지 여부,(4) 급수인구 5만 명 미만인 지역인지 여부,(5) 법 제26조제2항에 따른 수질기준 위반의 우려가 있는지 여부,4,"수도법 시행규칙 제12조의2에 따르면 상수도관망 중점관리지역의 지정 기준은 수질사고 및 수질민원 반복 발생 우려, 상수도관망의 노후 정도, 수질사고 발생 시 큰 피해 우려, 수질기준 위반 우려 등입니다. 급수인구 5만 명 미만 여부는 중점관리지역 지정 기준에 명시되어 있지 않습니다."
7,수도법 시행령 [별표 3의2]에 따른 상수도관망시설운영관리사 1급의 자격요건으로 옳은 것은?,(1) 상수도관망시설운영관리사 2급 자격을 취득한 후 상수도 분야에서 2년 이상 실무에 종사한 사람,(2) 상수도관망시설운영관리사 2급 자격을 취득한 후 수도시설의 설치ㆍ유지관리와 관련된 분야에서 3년 이상 실무에 종사한 사람,(3) 상수도관망시설운영관리사 2급 자격을 취득한 후 상수도 분야에서 5년 이상 실무에 종사한 사람,(4) 정수시설운영관리사 1급 자격을 취득한 후 수도시설의 설치ㆍ유지관리와 관련된 분야에서 1년 이상 실무에 종사한 사람,(5) 상수도 분야 기술사 자격 취득자,2,"수도법 시행령 [별표 3의2]에 따르면 상수도관망시설운영관리사 1급의 자격요건은 ""상수도관망시설운영관리사 2급 자격을 취득한 후 수도시설의 설치ㆍ유지관리와 관련된 분야에서 3년 이상 실무에 종사""한 사람으로 명시되어 있습니다."
8,"수도법 제33조 및 수도법 시행령 제50조에 따라 소독 등 위생조치를 하여야 할 건축물 또는 시설의 종류에 해당하지 않는 것은? (단, 저수조를 거치지 아니하고 수돗물을 공급하는 건축물이나 시설은 제외한다.)",(1) 연면적이 5천제곱미터 이상인 건축물이나 시설,(2) 연면적 2천제곱미터 이상인 둘 이상의 용도에 사용되는 건물 중 연면적 3천제곱미터 이상인 업무시설,(3) 객석 수 1천석 이상인 공연장,(4) 주택으로 쓰는 층수가 3층 이상인 주택,(5) 연면적 2천제곱미터 이상인 학원,4,"수도법 시행령 제50조에 따르면 소독 등 위생조치를 해야 할 건축물 또는 시설의 종류에 ""주택으로 쓰는 층수가 5층 이상인 주택""에 따른 아파트 및 그 복리시설은 포함되나, ""주택으로 쓰는 층수가 3층 이상인 주택""은 명시되어 있지 않습니다."
9,대형건축물 등의 소유자등이 저수조의 청소 및 위생점검을 실시해야 하는 주기로 옳은 것은?,"(1) 저수조 청소는 매월 1회 이상, 위생점검은 반기 1회 이상","(2) 저수조 청소는 반기 1회 이상, 위생점검은 매월 1회 이상","(3) 저수조 청소는 연 1회 이상, 위생점검은 반기 1회 이상","(4) 저수조 청소는 매월 1회 이상, 위생점검은 연 1회 이상",(5) 저수조 청소 및 위생점검 모두 연 1회 이상,2,"수도법 시행규칙 제22조의3에 따르면 대형건축물 등의 소유자 또는 관리자는 ""반기 1회 이상 저수조를 청소하여야 하고, 월 1회 이상 저수조의 위생상태를 점검하여야 한다""고 명시되어 있습니다."
10,수도시설에 대한 기술진단을 실시하는 주기로 옳은 것은?,(1) 1년마다,(2) 2년마다,(3) 3년마다,(4) 4년마다,(5) 5년마다,5,"수도법 제74조 제1항에 따르면 ""수도사업자는 수도시설의 관리상태를 점검하기 위하여 5년마다 환경부령으로 정하는 바에 따라 정수장ㆍ상수도관망 등 그 수도시설에 대한 기술진단을 실시하고, 시설개선계획을 수립하여 시행하여야 한다""고 명시되어 있습니다."
11,수도시설에 대한 기술진단 시 공통장비로 반드시 갖추어야 하는 것은?,(1) 관로탐지기,(2) 수압계,(3) 유량계,(4) 탁도계 (측정범위: 0~10 NTU),(5) 관두께측정기,4,"수도법 시행령 제65조의2 [별표 3의4]에 따르면, 기술진단의 실시를 위한 장비기준 중 ""공통장비""로 **탁도계(측정범위: 0~10 NTU)**가 명시되어 있습니다. 나머지 항목들은 시설의 구분(관로, 배수지 등)에 따른 개별장비로 분류됩니다."
12,"상수도관망에 대한 기술진단의 수준 구분 중 ""일반기술진단""의 범위로 옳은 것은?",(1) 시 단위 이상의 급수구역에 공급되는 상수도관망에 대한 기술진단,(2) 군 단위 이하의 급수구역에 공급되는 상수도관망에 대한 기술진단,(3) 광역상수도관망에 대한 기술진단,(4) 특정 시설물의 국부적인 진단,(5) 지방환경관서의 장이 정하여 고시하는 상수도관망,2,"수도법 시행규칙 제29조에 따르면 상수도관망의 기술진단은 그 수준에 따라 ""1. 일반기술진단 : 군 단위 이하의 급수구역에 공급되는 상수도관망에 대한 기술진단""으로 구분됩니다."
13,수도사업자가 상수도관망 업무 담당자 변경에 따른 인수인계 시 포함되어야 할 내용으로 명시되지 않은 것은?,(1) 용수공급계통현황,(2) 관련 계획도서,(3) 관련 보고서 및 설계 도서,(4) 상세 도면,(5) 담당자의 개인별 성과평가 보고서,5,"상수도관망시설유지관리업무 세부기준 제14조(인수인계)에 따르면, 인수인계 시 ""상수도관망 관련 용수공급계통현황, 관련 계획도서, 관련 보고서 및 설계 도서, 상세 도면, 본 고시와 관련된 별표 및 별지 서식"" 등이 포함되어야 합니다. 담당자의 개인별 성과평가 보고서는 명시되어 있지 않습니다."
14,상수도관망시설유지관리업무 세부기준에 따라 송수 및 배수관로의 관세척을 시행해야 하는 주기로 옳은 것은?,(1) 최초 매설 후 매 3년 이내 1회 이상,(2) 최초 매설 후 매 5년 이내 1회 이상,(3) 최초 매설 후 매 7년 이내 1회 이상,(4) 최초 매설 후 매 10년 이내 1회 이상,(5) 최초 매설 후 매 15년 이내 1회 이상,4,"상수도관망시설유지관리업무 세부기준 제4조 제2항에 따르면, ""관세척은 송수 및 배수관로에 대해 최초 매설 후 매 10년 이내 1회 이상 시행해야 한다""고 명시되어 있습니다."
15,상수도관망시설유지관리업무 세부기준에서 규정하는 상수도관망시설의 정보관리를 위해 배치해야 하는 전담인력의 최소 인원수는?,(1) 0명 (전담인력 불필요),(2) 1명 이상,(3) 2명 이상,(4) 3명 이상,(5) 5명 이상,2,"상수도관망시설유지관리업무 세부기준 제9조 제3항에 따르면 ""상수도관망시설 정보관리를 위해 관련된 전담인력을 1명 이상 배치해야 한다""고 명시되어 있습니다."
16,"주택건설기준 등에 관한 규정 제35조에 따라 공동주택단지에 설치하는 지하저수조의 저수량 기준으로 옳은 것은? (단, 고가수조 저수량은 매 세대당 0.25톤까지 산입한다.)",(1) 매 세대당 0.1톤 이상,(2) 매 세대당 0.25톤 이상,(3) 매 세대당 0.5톤 이상,(4) 매 세대당 0.75톤 이상,(5) 매 세대당 1.0톤 이상,3,"주택건설기준 등에 관한 규정 제35조 제2항 2호 가목에 따르면 지하저수조는 ""고가수조 저수량(매 세대당 0.25톤까지 산입)을 포함하여 매 세대당 0.5톤(독신자용 주택은 0.25톤) 이상의 수량을 저수할 수 있을 것""으로 규정되어 있습니다."
17,"송배수시설 운영관리 시, 정수장에서 최종 수용가 공급시까지 관내 체류시간으로 권장되는 최대 시간은?",(1) 12시간 이내,(2) 24시간 이내,(3) 48시간 이내,(4) 72시간 이내,(5) 96시간 이내,4,"송배수시설의 운영시 고려사항에 따르면 ""잔류염소 유지, 소독부산물 생성억제 등 수질관리 관점에서 정수장에서 최종 수용가 공급시까지 관내 체류시간은 72시간 이내로 권장하고 있습니다."
18,"송배수시설 관리의 중요한 요인이 되며, 신속한 처리, 갱신 및 가공 용이, 장기적 안정적 보관이 가능한 것으로 권장되는 관리방법은?",(1) 수동 장부 관리,(2) 구두 보고 체계,(3) GIS(지리정보시스템) 및 전산화,(4) 물리적 도면 관리,(5) 개별 시설 담당자 중심의 관리,3,"송배수시설의 관리에서 정보 관리의 중요성을 강조하며, ""신속한 처리가 가능하고 갱신이나 가공이 용이하며 장기적으로 안정적인 보관이 가능한 것""으로 카드, 도면, 대장, 마이크로필름, GIS(지리정보시스템) 등이 언급되어 있습니다. 이는 전산화를 통한 체계적 관리 방법을 의미합니다."
19,배수관 개량의 우선순위를 결정할 때 일반적으로 고려하는 조건에 해당하지 않는 것은?,(1) 매설 연도가 오래된 관로,(2) 누수가 많은 관로,(3) 재질이 약한 관로,(4) 급수구역의 인구 밀도가 낮은 관로,(5) 사고 발생 시 큰 피해가 예상되는 관로,4,"배수관 개량의 우선순위는 ""매설 연도가 오래된 관로, 누수가 많은 관로, 재질이 약한 관로, 탁수가 발생하기 쉬운 관로, 배수계획상의 간선관로, 사고 발생시에 큰 피해가 예상되는 관로 등의 조건을 종합적으로 고려하여 우선순위를 결정한다""고 명시되어 있습니다. 급수구역의 인구 밀도는 언급되어 있지 않습니다."
20,"무단수 공급체계가 구축된 송수관로 운영 시, 연결관 운영에 대한 설명으로 옳은 것은?",(1) 평상시 연결관은 항상 폐쇄하여 비상시에만 개방한다.,(2) 연결관은 단수가 발생할 경우 사고 위치를 고립하기 위해 주변 연결밸브를 운영해야 한다.,(3) 사고가 발생하더라도 연결관을 통해 단수 없이 1일 최대 급수량의 100%를 공급해야 한다.,(4) 연결관에 이물질이 쌓이는 것을 방지하기 위해 정기적으로 퇴수작업을 실시해야 한다.,(5) 연결관을 통한 수계전환 시 수질 문제는 발생하지 않으므로 특별한 조치가 필요 없다.,2,"무단수 공급체계가 구축된 송수관로의 운영에서 ""연결관이 설치된 복선화 관로의 경우 평상시 연결관은 개방하여 단수가 발생할 경우 사고 위치를 고립하기 위하여 주변 연결밸브 운영해야한다""고 명시되어 있습니다. 즉, 사고 발생 시 연결관을 통해 사고 위치를 고립시키기 위해 주변 연결 밸브를 조작하여 통수가 가능하도록 운영하는 것입니다."
21,"급수불량의 원인 중 ""배수관의 용량이 부족한 경우""에 대한 대책으로 옳지 않은 것은?",(1) 급수관에 조절밸브를 설치한다.,(2) 최대사용시간을 피하는 시차급수를 검토한다.,(3) 노후된 주철관이나 강관의 관석을 제거하여 통수능력을 회복시키기 위해 세관 및 도장 등으로 갱생한다.,(4) 배수관망에서 상호 연결을 불충분하게 유지하여 수압 불균등을 해소한다.,(5) 광범위한 배수구역의 말단 또는 고지대 등 수압 저하 지역에 가압펌프를 설치한다.,4,"배수관 용량 부족으로 인한 급수불량 중 ""상호 연결의 미비""는 수압 불균등을 야기하므로, 대책으로 ""관망계산을 적절하게 상호 연결하여 관망의 적정화를 도모""하는 것이 필요합니다. 상호 연결을 불충분하게 유지하는 것은 대책이 될 수 없습니다."
